sich	-44119.15402440443
auf	-43184.49166156042
zu	-35717.84525912153
das	-34583.92694587521
auch	-30756.532590403265
nach	-27088.664139078443
bei	-23071.38300786506
dem	-22338.706107619702
sind	-20753.20662284145
durch	-16169.793657869086
jahr	-15024.687097925229
wie	-11638.859496185389
noch	-10683.807544653719
stadt	-10616.074308388714
waren	-9517.306991367626
vor	-8438.873759005171
kann	-7663.834832848582
etwa	-6750.045684742604
vom	-6620.07755497218
ende	-6208.888465458064
mai	-6131.249883196996
hatte	-5951.44415878439
mehr	-5885.317187540313
rt	-5659.443589623657
schw	-5544.272938567638
ausge	-5145.266102286741
damit	-5125.932705501447
oder	-5056.7193777638695
zie	-5001.423416051185
ei	-4959.665211163448
gibt	-4872.220158990132
rie	-4868.061805532361
bau	-4860.414328252945
dann	-4771.900702559014
sg	-4740.395022937288
ihr	-4622.901907226895
bef	-4609.400239576116
vier	-4604.810954059304
schl	-4377.931615992793
ums	-4360.850384637686
denen	-4324.3459817013845
sv	-4316.559321937861
kra	-4276.970998789757
platz	-4270.0819382650625
iert	-4210.816029318428
diese	-4201.211270273792
ien	-4146.448825209475
verw	-4115.637032511055
abge	-4067.2245516928047
namen	-3994.748462703863
dort	-3914.7907260010347
erst	-3876.178735015971
isch	-3818.2193324131276
184	-3797.444373335696
kt	-3684.6088712256583
mie	-3669.4079477974346
scha	-3630.617434771235
statt	-3620.4111971194393
sei	-3518.8836716841292
deren	-3480.572491157721
Ã¤n	-3473.3468006354133
gew	-3431.5685231843872
verm	-3425.0836230989044
begann	-3392.9949028954015
Ã¤t	-3285.5582085411206
verd	-3263.088358486044
cla	-3221.7296414446864
schon	-3209.277785225381
gel	-3202.746112741068
saison	-3176.150068103209
Ã¤g	-3133.2567519851214
buch	-3117.967697651588
worden	-3104.7168226286794
nen	-3066.643084874838
weg	-3047.273835456356
neue	-3046.733110914184
rund	-3043.0947611072856
spr	-2979.396854784527
familie	-2956.302804172284
schm	-2926.890139744176
schen	-2926.188432938924
nt	-2909.4087190742175
wald	-2899.319496721933
titel	-2898.5564625367497
nord	-2862.0104090975947
gef	-2857.060415340109
kinder	-2844.7792862644324
lei	-2840.1117719789286
pf	-2828.9210954855675
gt	-2820.8445560349805
frei	-2786.099060443803
ehe	-2785.729705486915
Ã¼n	-2775.8593201766625
sta	-2742.289575325898
welt	-2728.3137875808043
hm	-2689.1747798719307
rei	-2676.412674016562
fand	-2651.016396381765
yl	-2619.1803400901144
fla	-2617.4408930340305
nun	-2614.6741229942663
ohne	-2587.5598631532216
welche	-2584.882858336842
gra	-2580.4005225317046
neben	-2579.4758366727983
verg	-2567.746886990727
tod	-2551.4154001827565
wort	-2551.4000017476787
erw	-2536.5002839175486
verb	-2534.2774698139747
ern	-2525.4172501258927
zahl	-2523.958686193874
ht	-2510.940612346236
alle	-2474.1785929615653
lieÃŁ	-2457.5166677029993
bb	-2450.5910619042747
sse	-2422.808754840034
unter	-2392.349120973458
musik	-2389.2007829594954
eck	-2379.441238138104
tte	-2373.1392527051266
versch	-2372.8989415330657
179	-2343.589633210174
lag	-2330.9840882357435
Ã¼b	-2328.470761852066
starb	-2326.9283272877933
alt	-2325.855066104474
macht	-2320.6570092789843
hin	-2313.3054047221976
trat	-2312.178809861566
fen	-2272.955738517261
bestand	-2263.6547453675753
iti	-2255.793753582377
muss	-2254.6835169373185
kon	-2253.762891570319
habe	-2249.105813934458
beste	-2238.6892440578963
tz	-2235.5065322215232
groÃŁ	-2218.97325332041
gem	-2195.1678995626285
cht	-2187.127481527099
jen	-2179.1736700446
nieder	-2142.507511723619
kl	-2136.307421806182
anst	-2123.7554546612437
besch	-2118.0018464653785
schu	-2114.5722485175284
erb	-2110.775893011263
bek	-2099.1203204681888
sommer	-2096.4419076544445
ierung	-2095.397322093931
bild	-2085.371746162279
Ã¤u	-2082.2200515251616
icht	-2061.0042290838705
kor	-2052.896369684021
hoch	-2050.635735969793
zw	-2046.477790644707
hof	-2028.528961312766
dessen	-2026.1045110585928
tei	-2026.0629510866247
kas	-2013.0262901954097
doch	-2001.957580381956
yp	-1992.5125467745706
terr	-1982.279014581186
hei	-1980.6394531509654
cke	-1976.231530809494
ppe	-1960.3416430005948
dorf	-1954.3789283250503
schei	-1948.1254042217297
kop	-1940.0475036700625
beginn	-1935.5884135598608
zin	-1927.223387568477
institut	-1916.244652659771
soll	-1912.9825596931248
folge	-1902.6135816984063
Ã¤r	-1888.9602570240465
gie	-1880.0901506279115
halb	-1875.4749792720993
nr	-1871.669383315404
wei	-1871.333653989484
bew	-1846.5079772549295
finden	-1842.6927653995608
findet	-1825.5696079924087
rolle	-1823.9508941253066
hn	-1820.9496937713109
andere	-1794.5192306248011
fel	-1746.419659938992
umge	-1740.168436681869
davon	-1738.9409811992236
enz	-1735.6480802039587
geb	-1730.001012697815
arten	-1720.1766516426771
kamen	-1719.5358176286813
lung	-1716.4496082635487
zog	-1691.6320723079798
laut	-1688.3204545778653
bruder	-1684.3328516690256
vater	-1684.3286499188423
schn	-1682.2346158316427
machen	-1679.1782277781622
acht	-1667.277167012902
schr	-1666.9918992784617
hilfe	-1664.1664706170236
uch	-1662.9398657868178
gilt	-1662.825011517114
yn	-1659.8519998366212
wasser	-1658.0981725784964
wagen	-1643.7800893020287
kw	-1638.7408277847621
sieben	-1635.063478895934
kie	-1633.6899496438682
turm	-1632.9466277814697
kre	-1621.9102080668517
patr	-1618.55614410232
haar	-1618.2653928814561
mutter	-1608.1260835739122
zel	-1604.7572959934407
hle	-1601.7121634807997
